Map,SIMPLE_NAME, line no: 50,getLocationProperties,SIMPLE_NAME, line no: 50, 0.09389671361502347, 0.9859154929577465, 1.0, 0.09523809523809523
getLocationProperties,SIMPLE_NAME, line no: 50,Map,SIMPLE_NAME, line no: 50, 0.09389671361502347, 0.9859154929577465, 1.0, 0.09523809523809523
"byon",STRING_LITERAL, line no: 50,(String)locationFlags.get("named"),CAST_EXPRESSION, line no: 46, 0.08699254349627175, 0.9859154929577465, 1.0, 0.08823529411764706
"byon",STRING_LITERAL, line no: 50,locationArgs.get("target").toString(),METHOD_INVOCATION, line no: 60, 0.08051008755234108, 0.9929577464788732, 1.0, 0.08108108108108109
namedLocation,SIMPLE_NAME, line no: 50,args,SIMPLE_NAME, line no: 47, 0.07692307692307693, 0.9929577464788732, 1.0, 0.07692307692307693
namedLocation,SIMPLE_NAME, line no: 50,group,SIMPLE_NAME, line no: 47, 0.07692307692307693, 1.0, 1.0, 0.07692307692307693
Object,SIMPLE_NAME, line no: 50,locationFlags.get("named"),METHOD_INVOCATION, line no: 46, 0.0752979414951246, 0.9788732394366197, 1.0, 0.07692307692307693
"byon",STRING_LITERAL, line no: 50,matcher.group(2),METHOD_INVOCATION, line no: 47, 0.06205985915492958, 0.9929577464788732, 1.0, 0.0625
properties,SIMPLE_NAME, line no: 50,getProperties,SIMPLE_NAME, line no: 37, 0.05850487540628385, 0.08450704225352113, 1.0, 0.6923076923076923
filteredProperties,SIMPLE_NAME, line no: 50,Map,SIMPLE_NAME, line no: 50, 0.05516154452324665, 0.9929078014184397, 1.0, 0.05555555555555555
Map,SIMPLE_NAME, line no: 50,filteredProperties,SIMPLE_NAME, line no: 50, 0.054773082942097026, 0.9859154929577465, 1.0, 0.05555555555555555
namedLocation,SIMPLE_NAME, line no: 50,"Invalid location '",STRING_LITERAL, line no: 43, 0.04225352112676056, 0.08450704225352113, 1.0, 0.5
namedLocation,SIMPLE_NAME, line no: 50,"Invalid target location '",STRING_LITERAL, line no: 63, 0.03129890453834116, 0.08450704225352113, 1.0, 0.37037037037037035
properties,SIMPLE_NAME, line no: 50,registry.getProperties(),METHOD_INVOCATION, line no: 37, 0.029049295774647883, 0.07746478873239436, 1.0, 0.375
namedLocation,SIMPLE_NAME, line no: 50,"'; must be resolvable location",STRING_LITERAL, line no: 63, 0.023767605633802816, 0.08450704225352113, 1.0, 0.28125
namedLocation,SIMPLE_NAME, line no: 50,"managementContext",STRING_LITERAL, line no: 27, 0.020756115641215715, 0.056338028169014086, 1.0, 0.3684210526315789
"byon",STRING_LITERAL, line no: 50,"Invalid location '",STRING_LITERAL, line no: 43, 0.016901408450704227, 0.08450704225352113, 1.0, 0.2
"byon",STRING_LITERAL, line no: 50,"'; must be resolvable location",STRING_LITERAL, line no: 63, 0.013204225352112676, 0.08450704225352113, 1.0, 0.15625
String,SIMPLE_NAME, line no: 50,"Invalid location '",STRING_LITERAL, line no: 43, 0.012676056338028168, 0.08450704225352113, 1.0, 0.15
String,SIMPLE_NAME, line no: 50,"Invalid target location '",STRING_LITERAL, line no: 63, 0.012519561815336462, 0.08450704225352113, 1.0, 0.14814814814814814
"byon",STRING_LITERAL, line no: 50,"Invalid target location '",STRING_LITERAL, line no: 63, 0.012519561815336462, 0.08450704225352113, 1.0, 0.14814814814814814
namedLocation,SIMPLE_NAME, line no: 50,"Invalid target location '" + target + "'; must be resolvable location",INFIX_EXPRESSION, line no: 63, 0.012001586986708985, 0.07746478873239436, 1.0, 0.15492957746478872
"byon",STRING_LITERAL, line no: 50,"managementContext",STRING_LITERAL, line no: 27, 0.011860637509266123, 0.056338028169014086, 1.0, 0.21052631578947367
namedLocation,SIMPLE_NAME, line no: 50,"'; must specify something like single(named:foo)",STRING_LITERAL, line no: 43, 0.011830985915492958, 0.08450704225352113, 1.0, 0.14
new LocationPropertiesFromBrooklynProperties().getLocationProperties("byon" namedLocation properties),METHOD_INVOCATION, line no: 50,getProperties,SIMPLE_NAME, line no: 37, 0.010954286918053507, 0.0851063829787234, 1.0, 0.12871287128712872
String,SIMPLE_NAME, line no: 50,"'; must be resolvable location",STRING_LITERAL, line no: 63, 0.01056338028169014, 0.08450704225352113, 1.0, 0.125
namedLocation,SIMPLE_NAME, line no: 50,"Invalid location '" + spec + "'; must specify something like single(named:foo)",INFIX_EXPRESSION, line no: 43, 0.009683098591549295, 0.07746478873239436, 1.0, 0.125
"byon",STRING_LITERAL, line no: 50,"(",STRING_LITERAL, line no: 21, 0.009389671361502348, 0.028169014084507043, 1.0, 0.3333333333333333
"byon",STRING_LITERAL, line no: 50,"|",STRING_LITERAL, line no: 21, 0.009389671361502348, 0.028169014084507043, 1.0, 0.3333333333333333
"byon",STRING_LITERAL, line no: 50,")",STRING_LITERAL, line no: 21, 0.009389671361502348, 0.028169014084507043, 1.0, 0.3333333333333333
"byon",STRING_LITERAL, line no: 50,":",STRING_LITERAL, line no: 21, 0.009389671361502348, 0.028169014084507043, 1.0, 0.3333333333333333
"byon",STRING_LITERAL, line no: 50,"'; must specify something like single(named:foo)",STRING_LITERAL, line no: 43, 0.008450704225352114, 0.08450704225352113, 1.0, 0.1
namedLocation,SIMPLE_NAME, line no: 50,"target must be specified in single-machine spec",STRING_LITERAL, line no: 58, 0.008048289738430582, 0.056338028169014086, 1.0, 0.14285714285714285
new LocationPropertiesFromBrooklynProperties().getLocationProperties("byon" namedLocation properties),METHOD_INVOCATION, line no: 50,newLocationFromString(spec null properties new MutableMap()),METHOD_INVOCATION, line no: 32, 0.007794396460922687, 0.06382978723404255, 0.3333333333333333, 0.36633663366336633
String,SIMPLE_NAME, line no: 50,"'; must specify something like single(named:foo)",STRING_LITERAL, line no: 43, 0.0067605633802816905, 0.08450704225352113, 1.0, 0.08
String,SIMPLE_NAME, line no: 50,"managementContext",STRING_LITERAL, line no: 27, 0.005930318754633061, 0.056338028169014086, 1.0, 0.10526315789473684
String,SIMPLE_NAME, line no: 50,"target must be specified in single-machine spec",STRING_LITERAL, line no: 58, 0.005748778384593274, 0.056338028169014086, 1.0, 0.10204081632653061
String,SIMPLE_NAME, line no: 50,"Invalid target location '" + target + "'; must be resolvable location",INFIX_EXPRESSION, line no: 63, 0.005455266812140448, 0.07746478873239436, 1.0, 0.07042253521126761
"byon",STRING_LITERAL, line no: 50,"Invalid target location '" + target + "'; must be resolvable location",INFIX_EXPRESSION, line no: 63, 0.005455266812140448, 0.07746478873239436, 1.0, 0.07042253521126761
namedLocation,SIMPLE_NAME, line no: 50,toUpperCase,SIMPLE_NAME, line no: 21, 0.005417118093174432, 0.035211267605633804, 1.0, 0.15384615384615385
"byon",STRING_LITERAL, line no: 50,"single",STRING_LITERAL, line no: 19, 0.00528169014084507, 0.014084507042253521, 1.0, 0.375
String,SIMPLE_NAME, line no: 50,toUpperCase,SIMPLE_NAME, line no: 21, 0.0051216389244558265, 0.028169014084507043, 1.0, 0.18181818181818182
"byon",STRING_LITERAL, line no: 50,"Invalid location '" + spec + "'; must specify something like single(named:foo)",INFIX_EXPRESSION, line no: 43, 0.0048415492957746475, 0.07746478873239436, 1.0, 0.0625
String,SIMPLE_NAME, line no: 50,SINGLE,SIMPLE_NAME, line no: 19, 0.004694835680751174, 0.007042253521126761, 1.0, 0.16666666666666666
"byon",STRING_LITERAL, line no: 50,"target must be specified in single-machine spec",STRING_LITERAL, line no: 58, 0.004599022707674619, 0.056338028169014086, 1.0, 0.08163265306122448
"byon",STRING_LITERAL, line no: 50,"\\((.*)\\)$",STRING_LITERAL, line no: 21, 0.004333694474539546, 0.028169014084507043, 1.0, 0.15384615384615385
namedLocation,SIMPLE_NAME, line no: 50,SINGLE.toUpperCase(),METHOD_INVOCATION, line no: 21, 0.004225352112676056, 0.028169014084507043, 1.0, 0.15
String,SIMPLE_NAME, line no: 50,"Invalid location '" + spec + "'; must specify something like single(named:foo)",INFIX_EXPRESSION, line no: 43, 0.0038732394366197184, 0.07746478873239436, 1.0, 0.05
"byon",STRING_LITERAL, line no: 50,toUpperCase,SIMPLE_NAME, line no: 21, 0.0032010243277848915, 0.035211267605633804, 1.0, 0.09090909090909091
String,SIMPLE_NAME, line no: 50,SINGLE.toUpperCase(),METHOD_INVOCATION, line no: 21, 0.003169014084507042, 0.02112676056338028, 1.0, 0.15
namedLocation,SIMPLE_NAME, line no: 50,SINGLE,SIMPLE_NAME, line no: 19, 0.002708559046587216, 0.014084507042253521, 1.0, 0.07692307692307693
String,SIMPLE_NAME, line no: 50,"single",STRING_LITERAL, line no: 19, 0.002640845070422535, 0.007042253521126761, 1.0, 0.375
String,SIMPLE_NAME, line no: 50,getPrefix,SIMPLE_NAME, line no: 72, 0.002347417840375587, 0.007042253521126761, 1.0, 0.3333333333333333
namedLocation,SIMPLE_NAME, line no: 50,"single",STRING_LITERAL, line no: 19, 0.002166847237269773, 0.014084507042253521, 1.0, 0.15384615384615385
namedLocation,SIMPLE_NAME, line no: 50,getPrefix,SIMPLE_NAME, line no: 72, 0.0016251354279523294, 0.007042253521126761, 1.0, 0.23076923076923078
"byon",STRING_LITERAL, line no: 50,SINGLE.toUpperCase(),METHOD_INVOCATION, line no: 21, 0.0014084507042253522, 0.028169014084507043, 1.0, 0.05
"byon",STRING_LITERAL, line no: 50,"(" + SINGLE + "|"+ SINGLE.toUpperCase()+ ")"+ ":"+ "\\((.*)\\)$",INFIX_EXPRESSION, line no: 21, 9.750812567713977E-4, 0.02112676056338028, 1.0, 0.046153846153846156
namedLocation,SIMPLE_NAME, line no: 50,"(" + SINGLE + "|"+ SINGLE.toUpperCase()+ ")"+ ":"+ "\\((.*)\\)$",INFIX_EXPRESSION, line no: 21, 9.750812567713977E-4, 0.02112676056338028, 1.0, 0.046153846153846156
properties,SIMPLE_NAME, line no: 50,Map,SIMPLE_NAME, line no: 31, 7.042253521126761E-4, 0.007042253521126761, 1.0, 0.1
String,SIMPLE_NAME, line no: 50,"(" + SINGLE + "|"+ SINGLE.toUpperCase()+ ")"+ ":"+ "\\((.*)\\)$",INFIX_EXPRESSION, line no: 21, 6.500541711809318E-4, 0.014084507042253521, 1.0, 0.046153846153846156
new LocationPropertiesFromBrooklynProperties().getLocationProperties("byon" namedLocation properties),METHOD_INVOCATION, line no: 50,Map,SIMPLE_NAME, line no: 31, 1.4043957587248087E-4, 0.0070921985815602835, 1.0, 0.019801980198019802
