team,SIMPLE_NAME, line no: 270,ArrayList,SIMPLE_NAME, line no: 39, 0.47368421052631576, 0.05263157894736842, 1.0
team,SIMPLE_NAME, line no: 270,this.team=new ArrayList<User>(Arrays.asList(team)),ASSIGNMENT, line no: 55, 0.47368421052631576, 0.47368421052631576, 1.0
team,SIMPLE_NAME, line no: 270,this.team,FIELD_ACCESS, line no: 55, 0.47368421052631576, 0.47368421052631576, 1.0
team,SIMPLE_NAME, line no: 270,new ArrayList<User>(Arrays.asList(team)),CLASS_INSTANCE_CREATION, line no: 55, 0.47368421052631576, 0.47368421052631576, 1.0
contains,SIMPLE_NAME, line no: 270,team.add(u),METHOD_INVOCATION, line no: 257, 0.47368421052631576, 0.47368421052631576, 1.0
contains,SIMPLE_NAME, line no: 270,team.remove(u),METHOD_INVOCATION, line no: 272, 0.47368421052631576, 0.47368421052631576, 1.0
u,SIMPLE_NAME, line no: 270,User,SIMPLE_NAME, line no: 38, 0.47368421052631576, 0.05263157894736842, 1.0
u,SIMPLE_NAME, line no: 270,owner,SIMPLE_NAME, line no: 38, 0.47368421052631576, 0.05263157894736842, 1.0
u,SIMPLE_NAME, line no: 270,this.owner=owner,ASSIGNMENT, line no: 53, 0.47368421052631576, 0.47368421052631576, 1.0
u,SIMPLE_NAME, line no: 270,this.owner,FIELD_ACCESS, line no: 53, 0.47368421052631576, 0.47368421052631576, 1.0
!team.contains(u),PREFIX_EXPRESSION, line no: 270,this.team,FIELD_ACCESS, line no: 55, 0.23529411764705882, 0.47058823529411764, 0.5
team.contains(u),METHOD_INVOCATION, line no: 270,this.team,FIELD_ACCESS, line no: 55, 0.2222222222222222, 0.4444444444444444, 0.5
!team.contains(u),PREFIX_EXPRESSION, line no: 270,team.toArray(a),METHOD_INVOCATION, line no: 245, 0.19607843137254902, 0.5882352941176471, 0.3333333333333333
team.contains(u),METHOD_INVOCATION, line no: 270,team.toArray(a),METHOD_INVOCATION, line no: 245, 0.18518518518518517, 0.5555555555555556, 0.3333333333333333
!team.contains(u),PREFIX_EXPRESSION, line no: 270,this.team=new ArrayList<User>(Arrays.asList(team)),ASSIGNMENT, line no: 55, 0.1568627450980392, 0.47058823529411764, 0.3333333333333333
team.contains(u),METHOD_INVOCATION, line no: 270,this.team=new ArrayList<User>(Arrays.asList(team)),ASSIGNMENT, line no: 55, 0.14814814814814814, 0.4444444444444444, 0.3333333333333333
!team.contains(u),PREFIX_EXPRESSION, line no: 270,addTeamMember,SIMPLE_NAME, line no: 253, 0.058823529411764705, 0.058823529411764705, 1.0
!team.contains(u),PREFIX_EXPRESSION, line no: 270,removeTeamMember,SIMPLE_NAME, line no: 268, 0.058823529411764705, 0.058823529411764705, 1.0
team.contains(u),METHOD_INVOCATION, line no: 270,addTeamMember,SIMPLE_NAME, line no: 253, 0.05555555555555555, 0.05555555555555555, 1.0
team.contains(u),METHOD_INVOCATION, line no: 270,removeTeamMember,SIMPLE_NAME, line no: 268, 0.05555555555555555, 0.05555555555555555, 1.0
contains,SIMPLE_NAME, line no: 270,addTeamMember,SIMPLE_NAME, line no: 253, 0.05263157894736842, 0.05263157894736842, 1.0
contains,SIMPLE_NAME, line no: 270,removeTeamMember,SIMPLE_NAME, line no: 268, 0.05263157894736842, 0.05263157894736842, 1.0
u,SIMPLE_NAME, line no: 270,getOwner,SIMPLE_NAME, line no: 235, 0.05263157894736842, 0.05263157894736842, 1.0
