withoutScheme(),METHOD_INVOCATION, line no: 199,uri,SIMPLE_NAME, line no: 85, 1.0, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,uri != null,INFIX_EXPRESSION, line no: 97, 1.0, 1.0, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,null,NULL_LITERAL, line no: 97, 1.0, 1.0, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,hostname,SIMPLE_NAME, line no: 213, 1.0, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,withoutHostname(),METHOD_INVOCATION, line no: 226, 1.0, 1.0, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,withoutHostnamePort(),METHOD_INVOCATION, line no: 227, 1.0, 1.0, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,hostname != null,INFIX_EXPRESSION, line no: 228, 1.0, 1.0, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,uri,SIMPLE_NAME, line no: 85, 1.0, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,uri != null,INFIX_EXPRESSION, line no: 97, 1.0, 1.0, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,null,NULL_LITERAL, line no: 97, 1.0, 1.0, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,hostname,SIMPLE_NAME, line no: 213, 1.0, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,hostname != null,INFIX_EXPRESSION, line no: 228, 1.0, 1.0, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,scheme,SIMPLE_NAME, line no: 182, 0.8947368421052632, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,path,SIMPLE_NAME, line no: 198, 0.8947368421052632, 0.05263157894736842, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,scheme,SIMPLE_NAME, line no: 182, 0.8888888888888888, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,scheme != null,INFIX_EXPRESSION, line no: 184, 0.8888888888888888, 0.8888888888888888, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,path,SIMPLE_NAME, line no: 198, 0.8888888888888888, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,path != null,INFIX_EXPRESSION, line no: 200, 0.8888888888888888, 0.8888888888888888, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,requirements,SIMPLE_NAME, line no: 47, 0.8421052631578947, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,HostnameRequirement,SIMPLE_NAME, line no: 152, 0.8421052631578947, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,scheme != null,INFIX_EXPRESSION, line no: 184, 0.8421052631578947, 0.8421052631578947, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,add,SIMPLE_NAME, line no: 185, 0.8421052631578947, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,path != null,INFIX_EXPRESSION, line no: 200, 0.8421052631578947, 0.8421052631578947, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,requirements.add(new HostnameRequirement(hostname)),METHOD_INVOCATION, line no: 229, 0.8421052631578947, 0.8421052631578947, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,new HostnameRequirement(hostname),CLASS_INSTANCE_CREATION, line no: 229, 0.8421052631578947, 0.8421052631578947, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,requirements,SIMPLE_NAME, line no: 47, 0.8333333333333334, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,HostnameRequirement,SIMPLE_NAME, line no: 152, 0.8333333333333334, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,add,SIMPLE_NAME, line no: 185, 0.8333333333333334, 0.6111111111111112, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,requirements.add(new HostnameRequirement(hostname)),METHOD_INVOCATION, line no: 229, 0.8333333333333334, 0.8333333333333334, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,new HostnameRequirement(hostname),CLASS_INSTANCE_CREATION, line no: 229, 0.8333333333333334, 0.8333333333333334, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,URI,SIMPLE_NAME, line no: 30, 0.7894736842105263, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,URISyntaxException,SIMPLE_NAME, line no: 31, 0.7894736842105263, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,u,SIMPLE_NAME, line no: 99, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,new URI(uri),CLASS_INSTANCE_CREATION, line no: 99, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,u.getScheme(),METHOD_INVOCATION, line no: 100, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,getScheme,SIMPLE_NAME, line no: 100, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,u.getHost(),METHOD_INVOCATION, line no: 101, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,getHost,SIMPLE_NAME, line no: 101, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,u.getPort(),METHOD_INVOCATION, line no: 101, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,getPort,SIMPLE_NAME, line no: 101, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,u.getRawPath(),METHOD_INVOCATION, line no: 102, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,getRawPath,SIMPLE_NAME, line no: 102, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,e,SIMPLE_NAME, line no: 103, 0.7894736842105263, 0.7894736842105263, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,URI,SIMPLE_NAME, line no: 30, 0.7777777777777778, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,URISyntaxException,SIMPLE_NAME, line no: 31, 0.7777777777777778, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,u,SIMPLE_NAME, line no: 99, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,new URI(uri),CLASS_INSTANCE_CREATION, line no: 99, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,withScheme(u.getScheme()),METHOD_INVOCATION, line no: 100, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,u.getScheme(),METHOD_INVOCATION, line no: 100, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,getScheme,SIMPLE_NAME, line no: 100, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,withHostnamePort(u.getHost() u.getPort()),METHOD_INVOCATION, line no: 101, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,u.getHost(),METHOD_INVOCATION, line no: 101, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,getHost,SIMPLE_NAME, line no: 101, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,u.getPort(),METHOD_INVOCATION, line no: 101, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,getPort,SIMPLE_NAME, line no: 101, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,withPath(u.getRawPath()),METHOD_INVOCATION, line no: 102, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,u.getRawPath(),METHOD_INVOCATION, line no: 102, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,getRawPath,SIMPLE_NAME, line no: 102, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,e,SIMPLE_NAME, line no: 103, 0.7777777777777778, 0.7777777777777778, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,Iterator,SIMPLE_NAME, line no: 34, 0.7368421052631579, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,DomainRequirement,SIMPLE_NAME, line no: 47, 0.7368421052631579, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,Iterator<DomainRequirement> iterator=requirements.iterator(),VARIABLE_DECLARATION_EXPRESSION, line no: 117, 0.7368421052631579, 0.7368421052631579, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,iterator,SIMPLE_NAME, line no: 117, 0.7368421052631579, 0.7368421052631579, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,requirements.iterator(),METHOD_INVOCATION, line no: 117, 0.7368421052631579, 0.7368421052631579, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,iterator.hasNext(),METHOD_INVOCATION, line no: 117, 0.7368421052631579, 0.7368421052631579, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,hasNext,SIMPLE_NAME, line no: 117, 0.7368421052631579, 0.7368421052631579, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,-1,PREFIX_EXPRESSION, line no: 214, 0.7368421052631579, 0.2631578947368421, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,1,NUMBER_LITERAL, line no: 214, 0.7368421052631579, 0.2631578947368421, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,port,SIMPLE_NAME, line no: 225, 0.7368421052631579, 0.05263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,port != -1,INFIX_EXPRESSION, line no: 230, 0.7368421052631579, 0.7368421052631579, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,Iterator,SIMPLE_NAME, line no: 34, 0.7222222222222222, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,DomainRequirement,SIMPLE_NAME, line no: 47, 0.7222222222222222, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,Iterator<DomainRequirement> iterator=requirements.iterator(),VARIABLE_DECLARATION_EXPRESSION, line no: 117, 0.7222222222222222, 0.7222222222222222, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,iterator,SIMPLE_NAME, line no: 117, 0.7222222222222222, 0.7222222222222222, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,requirements.iterator(),METHOD_INVOCATION, line no: 117, 0.7222222222222222, 0.7222222222222222, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,iterator.hasNext(),METHOD_INVOCATION, line no: 117, 0.7222222222222222, 0.7222222222222222, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,hasNext,SIMPLE_NAME, line no: 117, 0.7222222222222222, 0.7222222222222222, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,-1,PREFIX_EXPRESSION, line no: 214, 0.7222222222222222, 0.2777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,1,NUMBER_LITERAL, line no: 214, 0.7222222222222222, 0.2777777777777778, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,port,SIMPLE_NAME, line no: 225, 0.7222222222222222, 0.05555555555555555, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,port != -1,INFIX_EXPRESSION, line no: 230, 0.7222222222222222, 0.7222222222222222, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,HostnamePortRequirement,SIMPLE_NAME, line no: 168, 0.6666666666666666, 0.5555555555555556, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,iterator.next(),METHOD_INVOCATION, line no: 118, 0.631578947368421, 0.631578947368421, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,next,SIMPLE_NAME, line no: 118, 0.631578947368421, 0.631578947368421, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,HostnamePortRequirement,SIMPLE_NAME, line no: 168, 0.631578947368421, 0.5789473684210527, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,iterator.next(),METHOD_INVOCATION, line no: 118, 0.6111111111111112, 0.6111111111111112, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,next,SIMPLE_NAME, line no: 118, 0.6111111111111112, 0.6111111111111112, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,SchemeRequirement,SIMPLE_NAME, line no: 119, 0.6111111111111112, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,PathRequirement,SIMPLE_NAME, line no: 136, 0.6111111111111112, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,requirements.add(new HostnamePortRequirement(hostname port)),METHOD_INVOCATION, line no: 231, 0.6111111111111112, 0.6111111111111112, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,new HostnamePortRequirement(hostname port),CLASS_INSTANCE_CREATION, line no: 231, 0.6111111111111112, 0.6111111111111112, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,r,SIMPLE_NAME, line no: 118, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,r instanceof SchemeRequirement,INSTANCEOF_EXPRESSION, line no: 119, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,SchemeRequirement,SIMPLE_NAME, line no: 119, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,r instanceof PathRequirement,INSTANCEOF_EXPRESSION, line no: 136, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,PathRequirement,SIMPLE_NAME, line no: 136, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,r instanceof HostnameRequirement,INSTANCEOF_EXPRESSION, line no: 152, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,r instanceof HostnamePortRequirement,INSTANCEOF_EXPRESSION, line no: 168, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,requirements.add(new HostnamePortRequirement(hostname port)),METHOD_INVOCATION, line no: 231, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,new HostnamePortRequirement(hostname port),CLASS_INSTANCE_CREATION, line no: 231, 0.5789473684210527, 0.5789473684210527, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,r,SIMPLE_NAME, line no: 118, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,r instanceof SchemeRequirement,INSTANCEOF_EXPRESSION, line no: 119, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,r instanceof PathRequirement,INSTANCEOF_EXPRESSION, line no: 136, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,r instanceof HostnameRequirement,INSTANCEOF_EXPRESSION, line no: 152, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,r instanceof HostnamePortRequirement,INSTANCEOF_EXPRESSION, line no: 168, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,requirements.add(new SchemeRequirement(scheme)),METHOD_INVOCATION, line no: 185, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,new SchemeRequirement(scheme),CLASS_INSTANCE_CREATION, line no: 185, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,requirements.add(new PathRequirement(path)),METHOD_INVOCATION, line no: 201, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme(),METHOD_INVOCATION, line no: 199,new PathRequirement(path),CLASS_INSTANCE_CREATION, line no: 201, 0.5555555555555556, 0.5555555555555556, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,requirements.add(new SchemeRequirement(scheme)),METHOD_INVOCATION, line no: 185, 0.5263157894736842, 0.5263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,new SchemeRequirement(scheme),CLASS_INSTANCE_CREATION, line no: 185, 0.5263157894736842, 0.5263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,requirements.add(new PathRequirement(path)),METHOD_INVOCATION, line no: 201, 0.5263157894736842, 0.5263157894736842, 0.0
withoutScheme,SIMPLE_NAME, line no: 199,new PathRequirement(path),CLASS_INSTANCE_CREATION, line no: 201, 0.5263157894736842, 0.5263157894736842, 0.0
