DEFAULT_COLOR,SIMPLE_NAME, line no: 45,nattable,SIMPLE_NAME, line no: 11, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,persistence,SIMPLE_NAME, line no: 11, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,IPersistable,SIMPLE_NAME, line no: 13, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,java,SIMPLE_NAME, line no: 15, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,util,SIMPLE_NAME, line no: 15, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,Properties,SIMPLE_NAME, line no: 15, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,jface,SIMPLE_NAME, line no: 18, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,resource,SIMPLE_NAME, line no: 18, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,swt,SIMPLE_NAME, line no: 21, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,SWT,SIMPLE_NAME, line no: 21, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,graphics,SIMPLE_NAME, line no: 22, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,Display,SIMPLE_NAME, line no: 23, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,ColorPersistor,SIMPLE_NAME, line no: 25, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,getDefault,SIMPLE_NAME, line no: 28, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,getSystemColor,SIMPLE_NAME, line no: 28, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,COLOR_WHITE,SIMPLE_NAME, line no: 28, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,saveColor,SIMPLE_NAME, line no: 30, 0.2, 0.2, 0.0
DEFAULT_COLOR,SIMPLE_NAME, line no: 45,loadColor,SIMPLE_NAME, line no: 40, 0.2, 0.2, 0.0
