threadId,SIMPLE_NAME, line no: 57,opList.size(),METHOD_INVOCATION, line no: 62, 0.12550607287449392, 0.8157894736842105, 1.0, 0.15384615384615385
threadId,SIMPLE_NAME, line no: 57,this.threadId=threadId,ASSIGNMENT, line no: 47, 0.11483253588516747, 0.3157894736842105, 1.0, 0.36363636363636365
threadId,SIMPLE_NAME, line no: 57,size,SIMPLE_NAME, line no: 62, 0.10526315789473684, 0.8421052631578947, 1.0, 0.125
getCallerUuid,SIMPLE_NAME, line no: 57,this.caller=caller,ASSIGNMENT, line no: 46, 0.10256410256410256, 0.3076923076923077, 1.0, 0.3333333333333333
threadId,SIMPLE_NAME, line no: 57,int i=0,VARIABLE_DECLARATION_EXPRESSION, line no: 74, 0.09868421052631579, 0.7894736842105263, 1.0, 0.125
getOrCreateContainer().unlock(dataKey getCallerUuid() threadId),METHOD_INVOCATION, line no: 57,unlock,SIMPLE_NAME, line no: 57, 0.09523809523809523, 1.0, 1.0, 0.09523809523809523
unlock,SIMPLE_NAME, line no: 57,getOrCreateContainer().unlock(dataKey getCallerUuid() threadId),METHOD_INVOCATION, line no: 57, 0.09273182957393483, 0.9736842105263158, 1.0, 0.09523809523809523
getOrCreateContainer().unlock(dataKey getCallerUuid() threadId),METHOD_INVOCATION, line no: 57,out.writeInt(threadId),METHOD_INVOCATION, line no: 67, 0.06864006864006864, 0.8108108108108109, 0.3333333333333333, 0.25396825396825395
getOrCreateContainer().unlock(dataKey getCallerUuid() threadId),METHOD_INVOCATION, line no: 57,threadId=in.readInt(),ASSIGNMENT, line no: 78, 0.053911053911053906, 0.7837837837837838, 0.3333333333333333, 0.20634920634920634
getCallerUuid,SIMPLE_NAME, line no: 57,name,SIMPLE_NAME, line no: 43, 0.04733727810650888, 0.02564102564102564, 1.0, 0.15384615384615385
getCallerUuid(),METHOD_INVOCATION, line no: 57,name,SIMPLE_NAME, line no: 43, 0.042105263157894736, 0.02631578947368421, 1.0, 0.13333333333333333
getOrCreateContainer().unlock(dataKey getCallerUuid() threadId),METHOD_INVOCATION, line no: 57,this.threadId=threadId,ASSIGNMENT, line no: 47, 0.03861003861003861, 0.32432432432432434, 0.5, 0.23809523809523808
getOrCreateContainer().unlock(dataKey getCallerUuid() threadId),METHOD_INVOCATION, line no: 57,this.threadId,FIELD_ACCESS, line no: 47, 0.028314028314028315, 0.32432432432432434, 0.5, 0.1746031746031746
getOrCreateContainer().unlock(dataKey getCallerUuid() threadId),METHOD_INVOCATION, line no: 57,add,SIMPLE_NAME, line no: 75, 0.014157014157014158, 0.2972972972972973, 1.0, 0.047619047619047616
unlock,SIMPLE_NAME, line no: 57,opList.add((Operation)in.readObject()),METHOD_INVOCATION, line no: 75, 0.013850415512465372, 0.2631578947368421, 1.0, 0.05263157894736842
dataKey,SIMPLE_NAME, line no: 57,Data,SIMPLE_NAME, line no: 23, 0.011278195488721804, 0.02631578947368421, 1.0, 0.42857142857142855
threadId,SIMPLE_NAME, line no: 57,getId,SIMPLE_NAME, line no: 81, 0.009868421052631578, 0.02631578947368421, 1.0, 0.375
getCallerUuid,SIMPLE_NAME, line no: 57,String,SIMPLE_NAME, line no: 37, 0.005917159763313609, 0.02564102564102564, 1.0, 0.23076923076923078
getCallerUuid(),METHOD_INVOCATION, line no: 57,String,SIMPLE_NAME, line no: 37, 0.005263157894736842, 0.02631578947368421, 1.0, 0.2
threadId,SIMPLE_NAME, line no: 57,MultiMapDataSerializerHook.TXN_COMMIT_BACKUP,QUALIFIED_NAME, line no: 82, 0.004784688995215311, 0.05263157894736842, 1.0, 0.09090909090909091
threadId,SIMPLE_NAME, line no: 57,TXN_COMMIT_BACKUP,SIMPLE_NAME, line no: 82, 0.0046439628482972135, 0.07894736842105263, 1.0, 0.058823529411764705
