getId,SIMPLE_NAME, line no: 66,getVmId(),METHOD_INVOCATION, line no: 61, 0.5444444444444445, 0.98, 1.0, 0.5555555555555556
getVmId(),METHOD_INVOCATION, line no: 66,getvm_id,SIMPLE_NAME, line no: 61, 0.54421768707483, 0.9795918367346939, 1.0, 0.5555555555555556
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,_oldDisk=getDiskImageDao().get(getParameters().getImageId()),ASSIGNMENT, line no: 60, 0.515625, 1.0, 1.0, 0.515625
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,_oldDisk.getdisk_interface(),METHOD_INVOCATION, line no: 94, 0.5029154518950437, 0.9387755102040817, 1.0, 0.5357142857142857
getId,SIMPLE_NAME, line no: 66,getImageId,SIMPLE_NAME, line no: 59, 0.49, 0.98, 1.0, 0.5
getId,SIMPLE_NAME, line no: 66,getvm_id,SIMPLE_NAME, line no: 61, 0.49, 0.98, 1.0, 0.5
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,_oldDisk == null,INFIX_EXPRESSION, line no: 61, 0.4897959183673469, 0.9795918367346939, 1.0, 0.5
_oldDisk,SIMPLE_NAME, line no: 66,disk,SIMPLE_NAME, line no: 116, 0.42, 0.82, 1.0, 0.5
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,oldVmDevice=getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),ASSIGNMENT, line no: 65, 0.41209406494960804, 0.9787234042553191, 0.5, 0.8421052631578947
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,DbFacade.getInstance().getDiskDao().update(_oldDisk.getDisk()),METHOD_INVOCATION, line no: 168, 0.4089095744680851, 0.8723404255319149, 1.0, 0.46875
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,_oldDisk.getId(),METHOD_INVOCATION, line no: 66, 0.38095238095238093, 1.0, 1.0, 0.38095238095238093
getVmId,SIMPLE_NAME, line no: 66,getValue,SIMPLE_NAME, line no: 188, 0.38, 0.76, 1.0, 0.5
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,_oldDisk=getDiskImageDao().get(getParameters().getImageId()),ASSIGNMENT, line no: 60, 0.3753472222222222, 0.9791666666666666, 1.0, 0.38333333333333336
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66, 0.37317784256559766, 0.9795918367346939, 1.0, 0.38095238095238093
_oldDisk,SIMPLE_NAME, line no: 66,DiskImage,SIMPLE_NAME, line no: 7, 0.3644444444444444, 0.04, 1.0, 0.4444444444444444
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,_oldDisk.getdisk_interface(),METHOD_INVOCATION, line no: 94, 0.3571428571428571, 0.9375, 1.0, 0.38095238095238093
getVmId,SIMPLE_NAME, line no: 66,getVm().getId(),METHOD_INVOCATION, line no: 189, 0.3546666666666667, 0.76, 1.0, 0.4666666666666667
getVmId,SIMPLE_NAME, line no: 66,map.getvm_id(),METHOD_INVOCATION, line no: 61, 0.35, 0.98, 1.0, 0.35714285714285715
getId,SIMPLE_NAME, line no: 66,disk.getId(),METHOD_INVOCATION, line no: 117, 0.3416666666666667, 0.82, 1.0, 0.4166666666666667
getVmId,SIMPLE_NAME, line no: 66,disk.getId(),METHOD_INVOCATION, line no: 117, 0.3416666666666667, 0.82, 1.0, 0.4166666666666667
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,_oldDisk.setboot(getParameters().getDiskInfo().getboot()),METHOD_INVOCATION, line no: 164, 0.3407579787234043, 0.8723404255319149, 1.0, 0.390625
getVmId(),METHOD_INVOCATION, line no: 66,getValue,SIMPLE_NAME, line no: 188, 0.3356009070294784, 0.7551020408163265, 1.0, 0.4444444444444444
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,_oldDisk.getdisk_interface() != getParameters().getDiskInfo().getdisk_interface(),INFIX_EXPRESSION, line no: 94, 0.3309692671394799, 0.9574468085106383, 1.0, 0.345679012345679
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,getDiskImageDao().update(_oldDisk),METHOD_INVOCATION, line no: 169, 0.3271276595744681, 0.8723404255319149, 1.0, 0.375
new VmDeviceId(_oldDisk.getId() getVmId()),CLASS_INSTANCE_CREATION, line no: 66,_oldDisk.setboot(getParameters().getDiskInfo().getboot()),METHOD_INVOCATION, line no: 164, 0.3146929824561403, 0.8541666666666666, 1.0, 0.3684210526315789
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,getVmId,SIMPLE_NAME, line no: 61, 0.3125, 0.9795918367346939, 1.0, 0.3125
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,getId,SIMPLE_NAME, line no: 66, 0.3125, 1.0, 1.0, 0.3125
getId,SIMPLE_NAME, line no: 66,_oldDisk.getId(),METHOD_INVOCATION, line no: 66, 0.30625, 0.98, 1.0, 0.3125
getVmId,SIMPLE_NAME, line no: 66,_oldDisk.getId(),METHOD_INVOCATION, line no: 66, 0.30625, 0.98, 1.0, 0.3125
_oldDisk.getId(),METHOD_INVOCATION, line no: 66,getImageId,SIMPLE_NAME, line no: 59, 0.30612244897959184, 0.9795918367346939, 1.0, 0.3125
getVmDeviceDao().get(new VmDeviceId(_oldDisk.getId() getVmId())),METHOD_INVOCATION, line no: 66,_oldDisk.setdisk_interface(getParameters().getDiskInfo().getdisk_interface()),METHOD_INVOCATION, line no: 165, 0.3058856037579442, 0.8723404255319149, 1.0, 0.35064935064935066
