"\"",STRING_LITERAL, line no: 290,"-buildfile",STRING_LITERAL, line no: 337, 2.1666666666666665, 1.0, 1.0, 0.16666666666666666
"\"",STRING_LITERAL, line no: 290,"-classpath",STRING_LITERAL, line no: 301, 2.1666666666666665, 1.0, 1.0, 0.16666666666666666
"\"",STRING_LITERAL, line no: 290,"-buildfile",STRING_LITERAL, line no: 337, 2.1666666666666665, 1.0, 1.0, 0.16666666666666666
antScript,SIMPLE_NAME, line no: 290,"build timeout",STRING_LITERAL, line no: 160, 2.16, 0.96, 1.0, 0.2
antScript,SIMPLE_NAME, line no: 290,"org.apache.tools.ant.Main",STRING_LITERAL, line no: 303, 2.148148148148148, 1.0, 1.0, 0.14814814814814814
add,SIMPLE_NAME, line no: 290,arguments.add("java"),METHOD_INVOCATION, line no: 292, 2.142857142857143, 1.0, 1.0, 0.14285714285714285
add,SIMPLE_NAME, line no: 290,hasNext,SIMPLE_NAME, line no: 294, 2.142857142857143, 1.0, 1.0, 0.14285714285714285
"\"",STRING_LITERAL, line no: 290,"message",STRING_LITERAL, line no: 369, 2.1422222222222222, 0.92, 1.0, 0.2222222222222222
antScript,SIMPLE_NAME, line no: 290,beginning,SIMPLE_NAME, line no: 357, 2.1422222222222222, 0.92, 1.0, 0.2222222222222222
"\"",STRING_LITERAL, line no: 290,"message",STRING_LITERAL, line no: 369, 2.1422222222222222, 0.92, 1.0, 0.2222222222222222
"\"",STRING_LITERAL, line no: 290," ",STRING_LITERAL, line no: 117, 2.14, 0.64, 1.0, 0.5
"\"",STRING_LITERAL, line no: 290," ",STRING_LITERAL, line no: 117, 2.14, 0.64, 1.0, 0.5
antScript,SIMPLE_NAME, line no: 290,getFileContent,SIMPLE_NAME, line no: 166, 2.1342857142857143, 0.52, 1.0, 0.21428571428571427
"\"",STRING_LITERAL, line no: 290,"\"" + antScript + "\"",INFIX_EXPRESSION, line no: 290, 2.1339130434782607, 0.96, 1.0, 0.17391304347826086
"\"",STRING_LITERAL, line no: 290,"\"" + antScript + "\"",INFIX_EXPRESSION, line no: 290, 2.1339130434782607, 0.96, 1.0, 0.17391304347826086
arguments.add("\"" + antScript + "\""),METHOD_INVOCATION, line no: 290,hasMoreTokens,SIMPLE_NAME, line no: 341, 2.1315789473684212, 1.0, 1.0, 0.13157894736842105
"\"" + antScript + "\"",INFIX_EXPRESSION, line no: 290,String,SIMPLE_NAME, line no: 68, 2.130434782608696, 0.041666666666666664, 1.0, 0.13043478260869565
"\"" + antScript + "\"",INFIX_EXPRESSION, line no: 290,target,SIMPLE_NAME, line no: 73, 2.130434782608696, 0.041666666666666664, 1.0, 0.13043478260869565
"\"" + antScript + "\"",INFIX_EXPRESSION, line no: 290,"java",STRING_LITERAL, line no: 292, 2.130434782608696, 1.0, 1.0, 0.13043478260869565
"\"" + antScript + "\"",INFIX_EXPRESSION, line no: 290,"-buildfile",STRING_LITERAL, line no: 337, 2.130434782608696, 1.0, 1.0, 0.13043478260869565
add,SIMPLE_NAME, line no: 290,arguments.add(buildFile),METHOD_INVOCATION, line no: 338, 2.125, 1.0, 1.0, 0.125
