preMatcher.start(),METHOD_INVOCATION, line no: 22,getEndOffsetLastFound,SIMPLE_NAME, line no: 42, 0.18871252204585537, 0.6604938271604939, 1.0, 0.2857142857142857
preMatcher.start(),METHOD_INVOCATION, line no: 22,_startOffSet,SIMPLE_NAME, line no: 36, 0.18347050754458163, 0.6604938271604939, 1.0, 0.2777777777777778
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,localStart > input.length(),INFIX_EXPRESSION, line no: 46, 0.18162347397729703, 0.84472049689441, 0.3333333333333333, 0.5517241379310345
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,startIndex,SIMPLE_NAME, line no: 11, 0.1724137931034483, 0.006211180124223602, 1.0, 0.1724137931034483
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,start,SIMPLE_NAME, line no: 22, 0.1724137931034483, 1.0, 1.0, 0.1724137931034483
start,SIMPLE_NAME, line no: 22,localStart=preMatcher.start(),ASSIGNMENT, line no: 22, 0.1702982864396023, 0.9877300613496932, 1.0, 0.1724137931034483
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,localStart + 1,INFIX_EXPRESSION, line no: 24, 0.17027200685371602, 0.9875776397515528, 0.5, 0.3448275862068966
preMatcher,SIMPLE_NAME, line no: 22,region,SIMPLE_NAME, line no: 26, 0.16809815950920248, 0.8404907975460123, 1.0, 0.2
preMatcher,SIMPLE_NAME, line no: 22,matcher.region(startIndex end),METHOD_INVOCATION, line no: 26, 0.1668711656441718, 0.8343558282208589, 1.0, 0.2
start,SIMPLE_NAME, line no: 22,length,SIMPLE_NAME, line no: 29, 0.16462167689161553, 0.6625766871165644, 1.0, 0.16666666666666666
preMatcher.start(),METHOD_INVOCATION, line no: 22,length,SIMPLE_NAME, line no: 29, 0.16460905349794236, 0.6666666666666666, 1.0, 0.16666666666666666
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,postMatcher.find(localStart + 1),METHOD_INVOCATION, line no: 24, 0.1543090062111801, 0.9875776397515528, 0.3333333333333333, 0.46875
localStart,SIMPLE_NAME, line no: 22,this._startOffSet,FIELD_ACCESS, line no: 36, 0.15395787944807554, 0.654320987654321, 1.0, 0.23529411764705882
localStart,SIMPLE_NAME, line no: 22,body.length(),METHOD_INVOCATION, line no: 37, 0.15384615384615385, 0.6604938271604939, 1.0, 0.23076923076923078
localStart,SIMPLE_NAME, line no: 22,getStartOffsetLastFound,SIMPLE_NAME, line no: 41, 0.14358561460010735, 0.6604938271604939, 1.0, 0.21739130434782608
start,SIMPLE_NAME, line no: 22,input.length(),METHOD_INVOCATION, line no: 29, 0.14022787028921999, 0.656441717791411, 1.0, 0.14285714285714285
localStart,SIMPLE_NAME, line no: 22,input.length(),METHOD_INVOCATION, line no: 29, 0.1402116402116402, 0.6604938271604939, 1.0, 0.14285714285714285
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,_startOffSet,SIMPLE_NAME, line no: 36, 0.13750267723281218, 0.6645962732919255, 1.0, 0.20689655172413793
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,getEndOffsetLastFound,SIMPLE_NAME, line no: 42, 0.13750267723281218, 0.6645962732919255, 1.0, 0.20689655172413793
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,length,SIMPLE_NAME, line no: 29, 0.1362176054829728, 0.6708074534161491, 1.0, 0.13793103448275862
localStart,SIMPLE_NAME, line no: 22,_endOffSet,SIMPLE_NAME, line no: 37, 0.13209876543209878, 0.6604938271604939, 1.0, 0.2
start,SIMPLE_NAME, line no: 22,getEndOffsetLastFound,SIMPLE_NAME, line no: 42, 0.12503651767455448, 0.656441717791411, 1.0, 0.19047619047619047
localStart,SIMPLE_NAME, line no: 22,this._startOffSet=matcher.start(),ASSIGNMENT, line no: 36, 0.11784511784511785, 0.6481481481481481, 1.0, 0.18181818181818182
localStart,SIMPLE_NAME, line no: 22,body.length() - 1,INFIX_EXPRESSION, line no: 40, 0.11655773420479304, 0.6604938271604939, 1.0, 0.17647058823529413
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,localStart=end,ASSIGNMENT, line no: 32, 0.11651317198543586, 0.10559006211180125, 0.3333333333333333, 0.41379310344827586
start,SIMPLE_NAME, line no: 22,getStartOffsetLastFound,SIMPLE_NAME, line no: 41, 0.11416377700720191, 0.656441717791411, 1.0, 0.17391304347826086
preMatcher.start(),METHOD_INVOCATION, line no: 22,_endOffSet,SIMPLE_NAME, line no: 37, 0.11008230452674897, 0.6604938271604939, 1.0, 0.16666666666666666
localStart,SIMPLE_NAME, line no: 22,this.getStartOffsetLastFound(),METHOD_INVOCATION, line no: 41, 0.10905349794238683, 0.654320987654321, 1.0, 0.16666666666666666
start,SIMPLE_NAME, line no: 22,this.getStartOffsetLastFound(),METHOD_INVOCATION, line no: 41, 0.1083844580777096, 0.6503067484662577, 1.0, 0.16666666666666666
start,SIMPLE_NAME, line no: 22,this._startOffSet=matcher.start(),ASSIGNMENT, line no: 36, 0.09760178471834913, 0.6441717791411042, 1.0, 0.15151515151515152
localStart,SIMPLE_NAME, line no: 22,getEndOffsetLastFound,SIMPLE_NAME, line no: 42, 0.09435626102292768, 0.6604938271604939, 1.0, 0.14285714285714285
start,SIMPLE_NAME, line no: 22,this.getEndOffsetLastFound(),METHOD_INVOCATION, line no: 41, 0.09290096406660824, 0.6503067484662577, 1.0, 0.14285714285714285
localStart,SIMPLE_NAME, line no: 22,this._endOffSet,FIELD_ACCESS, line no: 37, 0.08724279835390947, 0.654320987654321, 1.0, 0.13333333333333333
start,SIMPLE_NAME, line no: 22,this._endOffSet,FIELD_ACCESS, line no: 37, 0.08670756646216769, 0.6503067484662577, 1.0, 0.13333333333333333
localStart,SIMPLE_NAME, line no: 22,end - 2 + body.length(),INFIX_EXPRESSION, line no: 37, 0.0853462157809984, 0.654320987654321, 1.0, 0.13043478260869565
localStart,SIMPLE_NAME, line no: 22,this.getEndOffsetLastFound(),METHOD_INVOCATION, line no: 41, 0.0701058201058201, 0.654320987654321, 1.0, 0.10714285714285714
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,_endOffSet,SIMPLE_NAME, line no: 37, 0.06875133861640609, 0.6645962732919255, 1.0, 0.10344827586206896
start,SIMPLE_NAME, line no: 22,_endOffSet,SIMPLE_NAME, line no: 37, 0.0656441717791411, 0.656441717791411, 1.0, 0.1
start,SIMPLE_NAME, line no: 22,body.length(),METHOD_INVOCATION, line no: 37, 0.05096743747050495, 0.656441717791411, 1.0, 0.07692307692307693
localStart,SIMPLE_NAME, line no: 22,this._endOffSet=end - 2 + body.length(),ASSIGNMENT, line no: 37, 0.04985754985754986, 0.6481481481481481, 1.0, 0.07692307692307693
start,SIMPLE_NAME, line no: 22,this._endOffSet=end - 2 + body.length(),ASSIGNMENT, line no: 37, 0.049551675318546484, 0.6441717791411042, 1.0, 0.07692307692307693
preMatcher.start(),METHOD_INVOCATION, line no: 22,end,SIMPLE_NAME, line no: 25, 0.04698216735253772, 0.8333333333333334, 1.0, 0.05555555555555555
start,SIMPLE_NAME, line no: 22,body.length() - 1,INFIX_EXPRESSION, line no: 40, 0.038614218693612416, 0.656441717791411, 1.0, 0.058823529411764705
localStart=preMatcher.start(),ASSIGNMENT, line no: 22,end,SIMPLE_NAME, line no: 25, 0.029342471621332192, 0.8385093167701864, 1.0, 0.034482758620689655
start,SIMPLE_NAME, line no: 22,end - 2 + body.length(),INFIX_EXPRESSION, line no: 37, 0.02827420645505468, 0.6503067484662577, 1.0, 0.043478260869565216
preMatcher,SIMPLE_NAME, line no: 22,mainMatcher,SIMPLE_NAME, line no: 87, 0.0039040713887339654, 0.006134969325153374, 1.0, 0.6363636363636364
