value,SIMPLE_NAME, line no: 45,value1 instanceof Data ? serializationService.toObject(value1) : value1,CONDITIONAL_EXPRESSION, line no: 59, 0.8333333333333334, 0.8333333333333334, 1.0
value,SIMPLE_NAME, line no: 45,serializationService.toObject(value1),METHOD_INVOCATION, line no: 59, 0.8333333333333334, 0.8333333333333334, 1.0
value,SIMPLE_NAME, line no: 45,v2,SIMPLE_NAME, line no: 60, 0.8333333333333334, 0.8333333333333334, 1.0
value,SIMPLE_NAME, line no: 45,value2 instanceof Data ? serializationService.toObject(value2) : value2,CONDITIONAL_EXPRESSION, line no: 60, 0.8333333333333334, 0.8333333333333334, 1.0
value,SIMPLE_NAME, line no: 45,serializationService.toObject(value2),METHOD_INVOCATION, line no: 60, 0.8333333333333334, 0.8333333333333334, 1.0
v,SIMPLE_NAME, line no: 45,toObject,SIMPLE_NAME, line no: 43, 0.8333333333333334, 0.3, 1.0
v,SIMPLE_NAME, line no: 45,value1,SIMPLE_NAME, line no: 58, 0.8333333333333334, 0.03333333333333333, 1.0
v,SIMPLE_NAME, line no: 45,value2,SIMPLE_NAME, line no: 58, 0.8333333333333334, 0.03333333333333333, 1.0
v,SIMPLE_NAME, line no: 45,v1,SIMPLE_NAME, line no: 59, 0.8333333333333334, 0.8333333333333334, 1.0
v,SIMPLE_NAME, line no: 45,value1 instanceof Data ? serializationService.toObject(value1) : value1,CONDITIONAL_EXPRESSION, line no: 59, 0.8333333333333334, 0.8333333333333334, 1.0
v,SIMPLE_NAME, line no: 45,serializationService.toObject(value1),METHOD_INVOCATION, line no: 59, 0.8333333333333334, 0.8333333333333334, 1.0
v,SIMPLE_NAME, line no: 45,v2,SIMPLE_NAME, line no: 60, 0.8333333333333334, 0.8333333333333334, 1.0
v,SIMPLE_NAME, line no: 45,value2 instanceof Data ? serializationService.toObject(value2) : value2,CONDITIONAL_EXPRESSION, line no: 60, 0.8333333333333334, 0.8333333333333334, 1.0
v,SIMPLE_NAME, line no: 45,serializationService.toObject(value2),METHOD_INVOCATION, line no: 60, 0.8333333333333334, 0.8333333333333334, 1.0
statisticsEnabled ? new ObjectRecordWithStats(key value) : new ObjectRecord(key v),CONDITIONAL_EXPRESSION, line no: 45,record,SIMPLE_NAME, line no: 49, 0.6785714285714286, 0.03571428571428571, 1.0
statisticsEnabled ? new ObjectRecordWithStats(key value) : new ObjectRecord(key v),CONDITIONAL_EXPRESSION, line no: 45,new ObjectRecordWithStats(key value),CLASS_INSTANCE_CREATION, line no: 45, 0.5, 1.0, 0.5
statisticsEnabled ? new ObjectRecordWithStats(key value) : new ObjectRecord(key v),CONDITIONAL_EXPRESSION, line no: 45,new ObjectRecord(key v),CLASS_INSTANCE_CREATION, line no: 45, 0.5, 1.0, 0.5
new ObjectRecordWithStats(key value),CLASS_INSTANCE_CREATION, line no: 45,statisticsEnabled ? new ObjectRecordWithStats(key value) : new ObjectRecord(key v),CONDITIONAL_EXPRESSION, line no: 45, 0.4827586206896552, 0.9655172413793104, 0.5
new ObjectRecord(key v),CLASS_INSTANCE_CREATION, line no: 45,statisticsEnabled ? new ObjectRecordWithStats(key value) : new ObjectRecord(key v),CONDITIONAL_EXPRESSION, line no: 45, 0.4827586206896552, 0.9655172413793104, 0.5
new ObjectRecordWithStats(key value),CLASS_INSTANCE_CREATION, line no: 45,value instanceof Data,INSTANCEOF_EXPRESSION, line no: 42, 0.4482758620689655, 0.896551724137931, 0.5
new ObjectRecordWithStats(key value),CLASS_INSTANCE_CREATION, line no: 45,new ObjectRecord(key v),CLASS_INSTANCE_CREATION, line no: 45, 0.3333333333333333, 1.0, 0.3333333333333333
new ObjectRecord(key v),CLASS_INSTANCE_CREATION, line no: 45,new ObjectRecordWithStats(key value),CLASS_INSTANCE_CREATION, line no: 45, 0.3333333333333333, 1.0, 0.3333333333333333
statisticsEnabled,SIMPLE_NAME, line no: 45,isStatisticsEnabled,SIMPLE_NAME, line no: 31, 0.3103448275862069, 0.3103448275862069, 1.0
statisticsEnabled,SIMPLE_NAME, line no: 45,this.statisticsEnabled=config.isStatisticsEnabled(),ASSIGNMENT, line no: 31, 0.27586206896551724, 0.27586206896551724, 1.0
statisticsEnabled,SIMPLE_NAME, line no: 45,this.statisticsEnabled,FIELD_ACCESS, line no: 31, 0.27586206896551724, 0.27586206896551724, 1.0
statisticsEnabled,SIMPLE_NAME, line no: 45,config.isStatisticsEnabled(),METHOD_INVOCATION, line no: 31, 0.27586206896551724, 0.27586206896551724, 1.0
value,SIMPLE_NAME, line no: 45,v=serializationService.toObject(value),ASSIGNMENT, line no: 43, 0.26666666666666666, 0.26666666666666666, 1.0
value,SIMPLE_NAME, line no: 45,serializationService.toObject(value),METHOD_INVOCATION, line no: 43, 0.26666666666666666, 0.26666666666666666, 1.0
v,SIMPLE_NAME, line no: 45,v=serializationService.toObject(value),ASSIGNMENT, line no: 43, 0.26666666666666666, 0.26666666666666666, 1.0
v,SIMPLE_NAME, line no: 45,serializationService.toObject(value),METHOD_INVOCATION, line no: 43, 0.26666666666666666, 0.26666666666666666, 1.0
statisticsEnabled ? new ObjectRecordWithStats(key value) : new ObjectRecord(key v),CONDITIONAL_EXPRESSION, line no: 45,value instanceof Data,INSTANCEOF_EXPRESSION, line no: 42, 0.23214285714285715, 0.9285714285714286, 0.25
new ObjectRecord(key v),CLASS_INSTANCE_CREATION, line no: 45,record.setValue(v),METHOD_INVOCATION, line no: 54, 0.20689655172413793, 0.6206896551724138, 0.3333333333333333
statisticsEnabled ? new ObjectRecordWithStats(key value) : new ObjectRecord(key v),CONDITIONAL_EXPRESSION, line no: 45,record.setValue(v),METHOD_INVOCATION, line no: 54, 0.1285714285714286, 0.6428571428571429, 0.2
