mean,SIMPLE_NAME, line no: 68,delta / n,INFIX_EXPRESSION, line no: 45, 1.3333333333333333, 0.3333333333333333, 1.0
mean,SIMPLE_NAME, line no: 68,m2+=delta * (x - mean),ASSIGNMENT, line no: 46, 1.3333333333333333, 0.3333333333333333, 1.0
mean,SIMPLE_NAME, line no: 68,delta * (x - mean),INFIX_EXPRESSION, line no: 46, 1.3333333333333333, 0.3333333333333333, 1.0
mean(),METHOD_INVOCATION, line no: 68,delta,SIMPLE_NAME, line no: 44, 1.2, 0.2, 1.0
mean(),METHOD_INVOCATION, line no: 68,stddev,SIMPLE_NAME, line no: 75, 1.2, 0.2, 1.0
mean,SIMPLE_NAME, line no: 68,stddev,SIMPLE_NAME, line no: 75, 1.1666666666666667, 0.16666666666666666, 1.0
mean(),METHOD_INVOCATION, line no: 68,Math.sqrt(variance()),METHOD_INVOCATION, line no: 76, 1.0, 1.0, 0.0
mean(),METHOD_INVOCATION, line no: 68,Math,SIMPLE_NAME, line no: 76, 1.0, 1.0, 0.0
mean(),METHOD_INVOCATION, line no: 68,variance(),METHOD_INVOCATION, line no: 76, 1.0, 1.0, 0.0
mean,SIMPLE_NAME, line no: 68,Math,SIMPLE_NAME, line no: 76, 1.0, 1.0, 0.0
mean,SIMPLE_NAME, line no: 68,n,SIMPLE_NAME, line no: 28, 0.8333333333333334, 0.16666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,reset,SIMPLE_NAME, line no: 33, 0.8333333333333334, 0.6666666666666666, 0.0
mean,SIMPLE_NAME, line no: 68,0L,NUMBER_LITERAL, line no: 37, 0.8333333333333334, 0.3333333333333333, 0.0
mean,SIMPLE_NAME, line no: 68,n == 0L,INFIX_EXPRESSION, line no: 50, 0.8333333333333334, 0.8333333333333334, 0.0
mean,SIMPLE_NAME, line no: 68,n == 1L,INFIX_EXPRESSION, line no: 53, 0.8333333333333334, 0.8333333333333334, 0.0
mean,SIMPLE_NAME, line no: 68,1L,NUMBER_LITERAL, line no: 53, 0.8333333333333334, 0.8333333333333334, 0.0
mean,SIMPLE_NAME, line no: 68,(n - 1L),PARENTHESIZED_EXPRESSION, line no: 57, 0.8333333333333334, 0.8333333333333334, 0.0
mean,SIMPLE_NAME, line no: 68,n - 1L,INFIX_EXPRESSION, line no: 57, 0.8333333333333334, 0.8333333333333334, 0.0
mean,SIMPLE_NAME, line no: 68,--n,PREFIX_EXPRESSION, line no: 60, 0.8333333333333334, 0.8333333333333334, 0.0
mean(),METHOD_INVOCATION, line no: 68,n,SIMPLE_NAME, line no: 28, 0.8, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,reset(),METHOD_INVOCATION, line no: 33, 0.8, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,reset,SIMPLE_NAME, line no: 33, 0.8, 0.6, 0.0
mean(),METHOD_INVOCATION, line no: 68,0L,NUMBER_LITERAL, line no: 37, 0.8, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,x - mean,INFIX_EXPRESSION, line no: 44, 0.8, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,(x - mean),PARENTHESIZED_EXPRESSION, line no: 46, 0.8, 0.2, 0.0
mean(),METHOD_INVOCATION, line no: 68,n == 0L,INFIX_EXPRESSION, line no: 50, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,n == 1L,INFIX_EXPRESSION, line no: 53, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,1L,NUMBER_LITERAL, line no: 53, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,(n * mean - x) / (n - 1L),INFIX_EXPRESSION, line no: 57, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,(n * mean - x),PARENTHESIZED_EXPRESSION, line no: 57, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,n * mean - x,INFIX_EXPRESSION, line no: 57, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,n * mean,INFIX_EXPRESSION, line no: 57, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,(n - 1L),PARENTHESIZED_EXPRESSION, line no: 57, 0.8, 0.8, 0.0
mean(),METHOD_INVOCATION, line no: 68,n - 1L,INFIX_EXPRESSION, line no: 57, 0.8, 0.8, 0.0
