memoryContents,SIMPLE_NAME, line no: 106,this.memoryContents=memoryContents,ASSIGNMENT, line no: 45, 0.1589267285861713, 0.38596491228070173, 1.0, 0.4117647058823529
position,SIMPLE_NAME, line no: 106,Long.MAX_VALUE,QUALIFIED_NAME, line no: 100, 0.13784461152882205, 0.9122807017543859, 1.0, 0.14285714285714285
Long.MAX_VALUE,QUALIFIED_NAME, line no: 106,position,SIMPLE_NAME, line no: 21, 0.13784461152882205, 0.03508771929824561, 1.0, 0.14285714285714285
totalRead,SIMPLE_NAME, line no: 106,totalRead+=read,ASSIGNMENT, line no: 110, 0.13684210526315788, 0.22807017543859648, 1.0, 0.6
offset,SIMPLE_NAME, line no: 106,int i=0,VARIABLE_DECLARATION_EXPRESSION, line no: 99, 0.1354679802955665, 0.9482758620689655, 1.0, 0.14285714285714285
dsts[offset + 1],ARRAY_ACCESS, line no: 106,this.validateOffsetAndLength(dsts offset length),METHOD_INVOCATION, line no: 94, 0.13392857142857142, 0.9642857142857143, 0.6666666666666666, 0.20833333333333334
this.position,FIELD_ACCESS, line no: 106,position < 0,INFIX_EXPRESSION, line no: 126, 0.13186813186813187, 0.21428571428571427, 1.0, 0.6153846153846154
this.memoryContents,FIELD_ACCESS, line no: 106,this.memoryContents.size(),METHOD_INVOCATION, line no: 193, 0.1304945054945055, 0.17857142857142858, 1.0, 0.7307692307692307
offset,SIMPLE_NAME, line no: 106,buffers.length - offset,INFIX_EXPRESSION, line no: 144, 0.12593703148425786, 0.4827586206896552, 1.0, 0.2608695652173913
this.memoryContents,FIELD_ACCESS, line no: 106,this.memoryContents.tryLock(l),METHOD_INVOCATION, line no: 206, 0.12440476190476189, 0.39285714285714285, 0.5, 0.6333333333333333
dsts[offset + 1],ARRAY_ACCESS, line no: 106,offset < 0,INFIX_EXPRESSION, line no: 135, 0.12053571428571429, 0.48214285714285715, 0.5, 0.5
this.memoryContents,FIELD_ACCESS, line no: 106,this.memoryContents.lock(l),METHOD_INVOCATION, line no: 198, 0.11937830687830689, 0.3392857142857143, 0.5, 0.7037037037037037
read,SIMPLE_NAME, line no: 106,Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106, 0.11332417582417582, 0.9821428571428571, 1.0, 0.11538461538461539
Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106,position,SIMPLE_NAME, line no: 21, 0.11332417582417582, 0.03571428571428571, 1.0, 0.11538461538461539
Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106,read,SIMPLE_NAME, line no: 93, 0.11332417582417582, 0.017857142857142856, 1.0, 0.11538461538461539
read,SIMPLE_NAME, line no: 106,Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106, 0.11328671328671329, 0.9818181818181818, 1.0, 0.11538461538461539
position,SIMPLE_NAME, line no: 106,Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106, 0.11133603238866398, 0.9649122807017544, 1.0, 0.11538461538461539
offset,SIMPLE_NAME, line no: 106,readShort,SIMPLE_NAME, line no: 84, 0.1111111111111111, 0.5, 1.0, 0.2222222222222222
this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106,totalRead,SIMPLE_NAME, line no: 98, 0.10843373493975904, 0.9818181818181818, 1.0, 0.10843373493975904
this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106,MAX_VALUE,SIMPLE_NAME, line no: 100, 0.10843373493975904, 0.9454545454545454, 1.0, 0.10843373493975904
MAX_VALUE,SIMPLE_NAME, line no: 106,0L,NUMBER_LITERAL, line no: 98, 0.10727969348659004, 0.9655172413793104, 1.0, 0.1111111111111111
totalRead,SIMPLE_NAME, line no: 106,this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106, 0.1046290424857324, 0.9649122807017544, 1.0, 0.10843373493975904
this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106,Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106, 0.10441767068273092, 1.0, 0.3333333333333333, 0.3132530120481928
MAX_VALUE,SIMPLE_NAME, line no: 106,this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106, 0.10282509347735772, 0.9482758620689655, 1.0, 0.10843373493975904
Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106,this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106, 0.10255306942053928, 0.9821428571428571, 0.3333333333333333, 0.3132530120481928
offset + 1,INFIX_EXPRESSION, line no: 106,readShort,SIMPLE_NAME, line no: 84, 0.10175438596491229, 0.5087719298245614, 1.0, 0.2
offset + 1,INFIX_EXPRESSION, line no: 106,1,NUMBER_LITERAL, line no: 85, 0.1, 0.5087719298245614, 1.0, 0.1
1,NUMBER_LITERAL, line no: 106,offset + 1,INFIX_EXPRESSION, line no: 106, 0.09827586206896552, 0.9827586206896551, 1.0, 0.1
dsts[offset + 1],ARRAY_ACCESS, line no: 106,dst,SIMPLE_NAME, line no: 82, 0.0970982142857143, 0.017857142857142856, 1.0, 0.1875
position,SIMPLE_NAME, line no: 106,count,SIMPLE_NAME, line no: 125, 0.09649122807017543, 0.017543859649122806, 1.0, 0.25
this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106,position,SIMPLE_NAME, line no: 21, 0.0963855421686747, 0.03636363636363636, 1.0, 0.0963855421686747
position,SIMPLE_NAME, line no: 106,this.position+=read,ASSIGNMENT, line no: 86, 0.09602954755309324, 0.17543859649122806, 1.0, 0.42105263157894735
position,SIMPLE_NAME, line no: 106,this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106, 0.09300359332065103, 0.9649122807017544, 1.0, 0.0963855421686747
totalRead,SIMPLE_NAME, line no: 106,newPosition,SIMPLE_NAME, line no: 178, 0.09250398724082935, 0.017543859649122806, 1.0, 0.18181818181818182
this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106,this.validateOffsetAndLength(dsts offset length),METHOD_INVOCATION, line no: 94, 0.08787357221092161, 0.9818181818181818, 0.2857142857142857, 0.3132530120481928
totalRead,SIMPLE_NAME, line no: 106,count,SIMPLE_NAME, line no: 125, 0.08576998050682261, 0.017543859649122806, 1.0, 0.2222222222222222
this.memoryContents.read(dsts[offset + 1] this.position Long.MAX_VALUE - totalRead),METHOD_INVOCATION, line no: 106,totalRead == Long.MAX_VALUE,INFIX_EXPRESSION, line no: 100, 0.08353413654618475, 0.9454545454545454, 0.3333333333333333, 0.26506024096385544
this.memoryContents,FIELD_ACCESS, line no: 106,this.memoryContents.closedChannel(this.pathToDelete),METHOD_INVOCATION, line no: 248, 0.08155906593406594, 0.44642857142857145, 0.5, 0.36538461538461536
offset,SIMPLE_NAME, line no: 106,read,SIMPLE_NAME, line no: 82, 0.08045977011494253, 0.017241379310344827, 1.0, 0.16666666666666666
